domain_num,domain_name,atom,contributing_repos,winner_tag,winner_name
1,Ingestion,Index a codebase into a persistent graph / vector store / knowledge base —,1;2;3;4;5;6;7;8;10;11;15;16;20;21,15,infigraph
1,Ingestion,Incremental (fingerprint / content-hash / branch-delta) re-indexing —,1;3;5;7;8;10;15;16,8,rag-rat
1,Ingestion,File-system watcher auto-reindex (debounced) in background —,3;5;7;8;15;16,7,codegraph
1,Ingestion,Git history / commit / PR / branch ingestion —,4;5;8;10;15;21;24,8,rag-rat
1,Ingestion,GitHub PR + issue + review ingestion —,4;21,21,potpie
1,Ingestion,Documents / files / URLs / raw text ingestion —,1;2;4;6;10;13;17;23,23,supermemory
1,Ingestion,"Multi-modal ingestion (images, audio, video, PDF, DOCX) —",2;17;22;23,23,supermemory
1,Ingestion,Conversation / chat transcript ingestion + entity extraction —,4;9;14;17;23,14,honcho
1,Ingestion,Coding-agent session-log mining into a private profile —,9,9,emulo
1,Ingestion,1-click/zero-config auto-ingest from agent history (no command) —,13;17;23;24,13,hindsight
1,Ingestion,"Wiki / knowledge-base ingestion (Confluence, Notion, Google Docs, Figma) —",1;4;15;21;23,21,potpie
1,Ingestion,Project structural scan with language/framework detection —,1;4;5;7;16,5,GitNexus
1,Ingestion,Scope indexing to a subdirectory / exclude globs —,1;4;7;15;26,15,infigraph
1,Ingestion,Per-branch / per-repo delta indexes —,3;8,3,octocode
1,Ingestion,Multi-repo federation / cross-repo indexing —,5;15;21;25;26,5,GitNexus
1,Ingestion,Auto reindex on PR merge via webhook —,15;26,15,infigraph
1,Ingestion,Bulk / batched episode ingestion —,10,10,graphiti
1,Ingestion,Import Claude Code / ChatGPT / Obsidian history —,9;17,17,mengram
1,Ingestion,"Data pipeline ingestion (dbt, Airflow) via structured schemas —",15,15,infigraph
1,Ingestion,OSV / dependency vulnerability scanning during ingest —,15,15,infigraph
2,Chunking,"Tree-sitter parsing (10–62 languages, varies per repo) —",1;3;4;5;7;15;16,15,infigraph
2,Chunking,ANTLR / custom DSL grammar plugins —,15;25,15,infigraph
2,Chunking,Heading-aware / structural Markdown chunking —,4;11,11,graph-memory-starter
2,Chunking,Character / token / sentence / region chunking —,2;3;5;11,2,MemOS
2,Chunking,AST-aware code chunking —,3;23,23,supermemory
2,Chunking,Figma / design-file parsing —,1,1,Understand-Anything
2,Chunking,"Non-code formats (Dockerfile, SQL, YAML, JSON, protobuf, env, config) —",1;4;26,1,Understand-Anything
2,Chunking,LLM contextual chunk descriptions at index time —,3,3,octocode
2,Chunking,Auto-generate project ignore / exclude rules —,1;7,1,Understand-Anything
3,Symbol/Entity,"Extract functions, classes, interfaces, types, variables, params —",1;3;4;5;7;16,4,codebase-graph
3,Symbol/Entity,Extract calls / imports / inheritance / type refs / JSX renders —,4;5;7;16,5,GitNexus
3,Symbol/Entity,COBOL / mainframe / legacy-language extraction —,5;26,5,GitNexus
3,Symbol/Entity,"Framework wiring detection (Spring, HTTP/gRPC, route constants) —",5;7;15;16,5,GitNexus
3,Symbol/Entity,LLM-based entity + relation extraction with schemas —,2;4;6;10;13;19;22,6,caura
3,Symbol/Entity,Custom Pydantic entity/edge types —,10,10,graphiti
3,Symbol/Entity,GLiNER2 local extraction (no LLM) —,10,10,graphiti
3,Symbol/Entity,Closed-vocabulary entity extraction (PERSON/ROLE/POLICY…) —,11,11,graph-memory-starter
3,Symbol/Entity,Aliasing / name-variant resolution —,4;6;11,11,graph-memory-starter
3,Symbol/Entity,Entity resolution (exact / canonical / semantic) —,6;22,6,caura
3,Symbol/Entity,DI / dependency-injection extraction —,5,5,GitNexus
3,Symbol/Entity,Definition + reference resolution (ctags/LSP) —,20;26,20,serena
4,Graph Construction,Code property graph (CPG) / AST+CFG+DDG+CDG —,4;5;7;15;20;25,25,joern
4,Graph Construction,Knowledge graph with typed nodes + edges —,1;2;4;6;10;11;17;19;22;24,10,graphiti
4,Graph Construction,Bi-temporal graph (valid_at / invalid_at) —,4;10,10,graphiti
4,Graph Construction,Call / import / inheritance / extends / implements edges —,3;4;5;7;16,4,codebase-graph
4,Graph Construction,Community detection (Louvain / Leiden) + summaries —,1;4;5;10,1,Understand-Anything
4,Graph Construction,Symbol graph (callers/callees) generated on demand —,3;7;16,3,octocode
4,Graph Construction,Live in-memory vs persisted GraphRAG —,3,3,octocode
4,Graph Construction,Episodic / Entity / Community / Saga node model —,10,10,graphiti
4,Graph Construction,"Memory graph (temporal, entity, semantic, causal edges) —",18,18,mnemon
4,Graph Construction,Directed call graph + impact/process/cluster grouping —,5,5,GitNexus
4,Graph Construction,Export graph as Neo4j / GraphML / JSON / Cypher / DOT —,4;15;25,25,joern
4,Graph Construction,"Configurable graph + vector projections (CozoDB, LanceDB) —",22,22,superlocalmemory
5,Embeddings/Vector,Local on-device embeddings (no API key) —,1;3;5;7;8;11;15;16,15,infigraph
5,Embeddings/Vector,"Pluggable embedding providers (OpenAI, Ollama, Voyage, Jina, BGE, Cohere, …) —",2;3;4;8;10;13;17,13,hindsight
5,Embeddings/Vector,pgvector / LanceDB / Qdrant / Milvus / sqlite-vec backends —,2;6;13;22,2,MemOS
5,Embeddings/Vector,HNSW / IVF / RaBitQ / int8 vector quantization —,4;15;16,15,infigraph
5,Embeddings/Vector,Cosine / semantic similarity search —,1;2;3;4;10;16,10,graphiti
5,Embeddings/Vector,Approximate nearest-neighbor at large scale —,15,15,infigraph
5,Embeddings/Vector,Multilingual embeddings (23+ languages) —,17;23,17,mengram
5,Embeddings/Vector,"Vision / OCR embedding (images, video transcription) —",23,23,supermemory
5,Embeddings/Vector,Multi-vector per repo (code/text/docs/commits/graph nodes) —,3,3,octocode
6,Keyword/Lexical,BM25 full-text search —,2;3;4;5;6;7;8;11;13;15;16;22;26,15,infigraph
6,Keyword/Lexical,FTS5 (SQLite) search —,7;11,11,graph-memory-starter
6,Keyword/Lexical,CJK / multi-script segmentation —,5;11,5,GitNexus
6,Keyword/Lexical,ripgrep / regex pattern fallback —,16;20,16,sense
6,Keyword/Lexical,Commit / history / annotation search —,8;26,26,opengrok
6,Keyword/Lexical,Git blame per chunk / symbol —,8,8,rag-rat
7,Hybrid/Retrieval,Vector + keyword (RRF fusion) —,1;3;5;6;7;8;11;13;14;15;16;22,13,hindsight
7,Hybrid/Retrieval,Graph + semantic + temporal + lexical multi-channel —,4;10;13;22,22,superlocalmemory
7,Hybrid/Retrieval,Hopfield / spreading-activation associative recall —,22,22,superlocalmemory
7,Hybrid/Retrieval,Re-ranking (cross-encoder / LLM / BGE / Cohere / local) —,2;3;4;6;13;15;16;22,13,hindsight
7,Hybrid/Retrieval,Query-shape auto-weighting / adaptive budget —,3;7,3,octocode
7,Hybrid/Retrieval,Graph-expansion of candidates before rerank —,3,3,octocode
